id	modified	datasetID	institutionCode	collectionCode	basisOfRecord	dynamicProperties	occurrenceID	catalogNumber	recordedBy	eventDate	county	locality	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	georeferenceProtocol	scientificNameID	scientificName	taxonRank	scientificNameAuthorship	vernacularName	taxonomicStatus
ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315919	2017-07-06 12:52:00	CoastalAndMarineSpecies	NBDC	CoastalAndMarineSpecies	HumanObservation	County=Antrim;Vice-county=Antrim;Abundance=1	ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315919	23640212257315920	Alastair Marsden	2014-03-22	Antrim; Antrim	Causeway coast		55.2425014	-6.37435746	100		urn:lsid:marinespecies.org:taxname:127141	Platichthys flesus	Species	(Linnaeus, 1758)	Flounder	accepted
ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315920	2017-07-06 12:52:00	CoastalAndMarineSpecies	NBDC	CoastalAndMarineSpecies	HumanObservation	County=Antrim;Vice-county=Antrim;Abundance=1	ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315920	23640212257315920	Alastair Marsden	2014-03-22	Antrim; Antrim	Causeway coast		55.2425014	-6.37435746	100		urn:lsid:marinespecies.org:taxname:126441	Pollachius virens	Species	(Linnaeus, 1758)	Saithe	accepted
ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315921	2017-07-06 12:52:00	CoastalAndMarineSpecies	NBDC	CoastalAndMarineSpecies	HumanObservation	County=Antrim;Vice-county=Antrim;Abundance=2	ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315921	23640212257315920	Alastair Marsden	2014-03-22	Antrim; Antrim	Causeway coast		55.2425014	-6.37435746	100		urn:lsid:marinespecies.org:taxname:154473	Psetta maxima	Species	(Linnaeus, 1758)	Turbot	accepted
ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315922	2017-07-06 12:52:00	CoastalAndMarineSpecies	NBDC	CoastalAndMarineSpecies	HumanObservation	County=Antrim;Vice-county=Antrim;Abundance=1	ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315922	23640212257315920	Alastair Marsden	2014-03-22	Antrim; Antrim	Causeway coast		55.2425014	-6.37435746	100		urn:lsid:marinespecies.org:taxname:127187	Salmo trutta	Species	Linnaeus, 1758	Brown/Sea Trout	accepted
ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315923	2017-07-06 12:52:00	CoastalAndMarineSpecies	NBDC	CoastalAndMarineSpecies	HumanObservation	County=Donegal;Abundance=1	ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315923	23640212257315924	Alastair Marsden	2014-03-13	Donegal	North west Donegal		55.22446212	-7.8239746	100		urn:lsid:marinespecies.org:taxname:126975	Dicentrarchus labrax	Species	(Linnaeus, 1758)	Sea Bass	accepted
ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315924	2017-07-06 12:52:00	CoastalAndMarineSpecies	NBDC	CoastalAndMarineSpecies	HumanObservation	County=Donegal;Abundance=7	ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315924	23640212257315924	Alastair Marsden	2014-03-13	Donegal	North west Donegal		55.22446212	-7.8239746	100		urn:lsid:marinespecies.org:taxname:127141	Platichthys flesus	Species	(Linnaeus, 1758)	Flounder	accepted
ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315925	2017-07-06 12:52:00	CoastalAndMarineSpecies	NBDC	CoastalAndMarineSpecies	HumanObservation	County=Donegal;Abundance=5	ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315925	23640212257315924	Alastair Marsden	2014-03-13	Donegal	North west Donegal		55.22446212	-7.8239746	100		urn:lsid:marinespecies.org:taxname:126441	Pollachius virens	Species	(Linnaeus, 1758)	Saithe	accepted
ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315926	2017-07-06 12:52:00	CoastalAndMarineSpecies	NBDC	CoastalAndMarineSpecies	HumanObservation	County=Cork;Habitat description=Sedimentary sea cliffs	ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315926	23640212257315928	Anne Ferguson	2014-09-21	Cork	Hangman's Point, Kinsale, Co. Cork		51.67459262	-8.48137445	100		urn:lsid:marinespecies.org:taxname:494791	Sargassum muticum	Species	(Yendo) Fensholt	Wireweed	accepted
ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315927	2017-07-06 12:52:00	CoastalAndMarineSpecies	NBDC	CoastalAndMarineSpecies	HumanObservation	County=Cork;Habitat description=Sedimentary sea cliffs	ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315927	23640212257315928	Anne Ferguson	2014-09-21	Cork	Hangman's Point, Kinsale, Co. Cork		51.67459262	-8.48137445	100		urn:lsid:marinespecies.org:taxname:494791	Sargassum muticum	Species	(Yendo) Fensholt	Wireweed	accepted
ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315928	2017-07-06 12:52:00	CoastalAndMarineSpecies	NBDC	CoastalAndMarineSpecies	HumanObservation	County=Cork;Habitat description=Sedimentary sea cliffs	ie.nbdc.dataset.CoastalAndMarineSpecies.23640212257315928	23640212257315928	Anne Ferguson	2014-09-21	Cork	Hangman's Point, Kinsale, Co. Cork		51.67459262	-8.48137445	100		urn:lsid:marinespecies.org:taxname:130875	Bispira volutacornis	Species	(Montagu, 1804)	Twin Fan Worm	accepted
